organisation	host	kind	item_id	date	title	tags	listing_url
Arusha City Council	arushacc.go.tz	news	946	2026-03-09	KIKAO CHA BARAZA LA WAZI LA MADIWANI KWA ROBO YA PILI YA MWAKA WA FEDHA 2025/2026	public_meeting, ward_meeting	https://arushacc.go.tz/api/news?page=1&limit=50
Arusha City Council	arushacc.go.tz	news	918	2026-03-09	BARAZA LA MADIWANI HALMASHAURI YA JIJI LA ARUSHA LAPITISHA BAJETI YA BILIONI 150 KWA MWAKA WA FEDHA 2026/2027	public_meeting	https://arushacc.go.tz/api/news?page=1&limit=50
Kilimanjaro Regional Secretariat	kilimanjaro.go.tz	news	830	2026-03-08	Maadhimisho ya Siku ya Wanawake Duniani yafanyika Wilaya ya Hai	parents_or_education, exhibition_or_public_event	https://kilimanjaro.go.tz/api/news?page=1&limit=50
Monduli District Council	mondulidc.go.tz	news	898	2026-03-07	AGIZO LA KUSIKILIZA KERO NA MIGOGORO YA ARDHI MONDULI, LATEKELEZWA.	public_meeting	https://mondulidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	909	2026-03-06	WAZIRI MKUU AWEKA JIWE LA MSINGI SKIMU YA UMWAGILIAJI BONDE LA EYASI WILAYA YA KARATU	public_meeting	https://arusha.go.tz/api/news?page=7&limit=50
Arusha Regional Secretariat	arusha.go.tz	announcements	248	2026-03-06	WAZIRI MKUU DKT. MWIGULU KUFANYA ZIARA KARATU NA MONDULI	public_meeting	https://arusha.go.tz/api/announcements?page=1&limit=50
Hai District Council	haidc.go.tz	news	797	2026-03-06	Mkuu wa Wilaya ya Hai Hassan Bomboko Kuendelea Kusikilza Kero za wanchi Tarafa kwa Tarafa	parents_or_education, exhibition_or_public_event	https://haidc.go.tz/api/news?page=2&limit=50
Monduli District Council	mondulidc.go.tz	news	906	2026-03-06	HAKUNA FIDIA ENEO LA MAFUNZO NA MALISHO-MONDULI	public_meeting	https://mondulidc.go.tz/api/news?page=1&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	916	2026-03-05	RAIS SAMIA NI MWANAMKE HODARI NA MCHAPAKAZI- RC MAKALLA	exhibition_or_public_event	https://arusha.go.tz/api/news?page=7&limit=50
Arusha Regional Secretariat	arusha.go.tz	news	915	2026-03-05	DKT. TOBA NGUVILA ATOA PONGEZI KWA WANAWAKE WA MKOA WA ARUSHA	exhibition_or_public_event	https://arusha.go.tz/api/news?page=7&limit=50
